id,value
homepage,173
homepage.login,153
homepage.login.welcomeback,85
homepage.login.welcomeback.s2weight,80
homepage.login.welcomeback.s2weight.wplost,47
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal,28
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals,28
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision,25
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan,25
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans,20
homepage.login.welcomeback.s2weight.wplost.weightgraph,19
homepage.registration,19
homepage.registration.registrationfinish,18
homepage.login.welcomeback.s2weight.wplost.weightgraph.s2reviewgoals,18
homepage.login.welcomeback.s2weight.wpgain,17
homepage.registration.registrationfinish.usingpower,16
homepage.login.loginfailed,16
homepage.login.welcomeback.s2weight.wplost.weightgraph.s2reviewgoals.s2newgoal,16
homepage.login.welcomeback.s2weight.wplost.weightgraph.s2reviewgoals.s2newgoal.s2changeplan,13
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps,13
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps.stepfeedback,13
homepage.login.welcomeback.s2weight.wpsame,13
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps.stepfeedback.pawalkchange,12
homepage.login.s2sessionchoice,12
homepage.login.welcomeback.s2weight.wplost.weightgraph.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision,10
homepage.login.welcomeback.s2weight.wpsame.s2reviewgoals,10
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps.stepfeedback.pawalkchange.stepgoalreview,10
homepage.login.welcomeback.s2weight.wpsame.s2reviewgoals.s2newgoal,10
homepage.login.welcomeback.s2weight.wpgain.weightgraph,9
homepage.login.welcomeback.s2weight.wpsame.s2reviewgoals.s2newgoal.s2changeplan,8
homepage.login.welcomeback.s2weight.wpgain.s2reviewgoals,8
homepage.registration.registrationfinish.usingpower.nocaloriecounting,8
homepage.login.loginfailed.welcomeback,8
homepage.login.welcomeback.s2weight.wplost.weightgraph.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans,8
homepage.login.loginfailed.welcomeback.s2weight,8
homepage.login.welcomeback.s2weight.wpsame.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision,8
homepage.login.welcomeback.s2weight.wpgain.weightgraph.s2reviewgoals,8
homepage.login.q_followup_8wk,7
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps.stepfeedback.pawalkchange.stepgoalreview.reviewfinish.s2sessionchoice,7
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans.entersteps.stepfeedback.pawalkchange.stepgoalreview.reviewfinish,7
homepage.login.q_followup_8wk.q_weight.q_therapist,7
homepage.login.q_followup_8wk.q_weight,7
homepage.login.s2welcomeshort,7
homepage.registration.registrationfinish.usingpower.nocaloriecounting.nostrictdiet,7
homepage.login.loginfailed.welcomeback.s2weight.wplost,7
homepage.login.s2welcomeshort.Tools,6
homepage.login.s1end,6
homepage.login.q_followup_8wk.q_weight.q_therapist.q_websat.q_patientenable_.q_complete_8wk,6
homepage.login.welcomeback.s2weight.wpgain.s2reviewgoals.s2newgoal,6
homepage.login.q_followup_8wk.q_weight.q_therapist.q_websat.q_patientenable_,6
homepage.login.welcomeback.s2weight.wpgain.weightgraph.s2reviewgoals.s2newgoal,6
homepage.login.s1end.s2intro,6
homepage.login.welcomeback.s2weight.wpsame.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans,6
homepage.login.s1end.s2intro.goalsetting,6
homepage.login.q_followup_8wk.q_weight.q_therapist.q_websat,6
homepage.login.welcomeback.s2weight.wpgain.weightgraph.s2reviewgoals.s2newgoal.s2changeplan,5
homepage.login.welcomeback.s2weight.wpgain.weightgraph.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision,5
homepage.login.welcomeback.s2weight.wpgain.weightgraph.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2newplans,5
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2goalchange.calexamples,5
homepage.login.welcomeback.s2weight.wplost.s2reviewgoals.s2newgoal.s2changeplan.s2_s1goaldecision.s2_s2goalchange,5
